date,trades_count,gross_pnl,charges,net_pnl,equity,daily_return_pct
2024-03-14,5,0.0,64.01,-64.01,42589.19,-0.15
2024-03-15,5,0.0,64.92,-64.92,42524.27,-0.15
2024-03-18,5,-0.0,63.33,-63.33,42460.94,-0.15
2024-03-19,5,-291.72,64.62,-356.34,42104.6,-0.84
2024-03-20,5,-0.0,63.23,-63.23,42041.37,-0.15
2024-03-21,5,0.0,64.24,-64.24,41977.13,-0.15
2024-03-22,5,0.0,64.04,-64.04,41913.09,-0.15
2024-03-26,5,0.0,57.62,-57.62,41855.47,-0.14
2024-03-27,5,0.0,61.19,-61.19,41794.28,-0.15
2024-03-28,5,0.0,63.8,-63.8,41730.48,-0.15
2024-04-01,5,-256.38,63.18,-319.56,41410.92,-0.77
2024-04-02,5,-33.84,60.77,-94.61,41316.31,-0.23
2024-04-03,5,52.65,62.74,-10.09,41306.22,-0.02
2024-04-04,5,0.0,62.2,-62.2,41244.02,-0.15
2024-04-05,5,658.52,62.16,596.36,41840.38,1.45
2024-04-08,5,-292.5,63.05,-355.55,41484.83,-0.85
2024-04-09,5,0.0,62.99,-62.99,41421.84,-0.15
2024-04-10,5,0.0,62.79,-62.79,41359.05,-0.15
2024-04-12,5,10.35,62.73,-52.38,41306.67,-0.13
2024-04-15,5,0.0,62.62,-62.62,41244.05,-0.15
2024-04-16,5,0.0,61.97,-61.97,41182.08,-0.15
2024-04-18,5,-0.0,61.5,-61.5,41120.58,-0.15
2024-04-19,5,0.0,62.5,-62.5,41058.08,-0.15
2024-04-22,5,0.0,60.72,-60.72,40997.36,-0.15
2024-04-23,5,0.0,60.71,-60.71,40936.65,-0.15
2024-04-24,5,-36.15,61.55,-97.7,40838.95,-0.24
2024-04-25,5,32.76,60.11,-27.35,40811.6,-0.07
2024-04-26,5,0.0,61.86,-61.86,40749.74,-0.15
2024-04-29,5,0.0,62.0,-62.0,40687.74,-0.15
2024-04-30,5,-284.13,61.87,-346.0,40341.74,-0.85
2024-05-02,5,0.0,48.57,-48.57,40293.17,-0.12
2024-05-03,5,-252.9,60.25,-313.15,39980.02,-0.78
2024-05-06,5,-311.81,57.31,-369.12,39610.9,-0.92
2024-05-07,5,-0.0,60.21,-60.21,39550.69,-0.15
2024-05-08,5,-18.24,60.03,-78.27,39472.42,-0.2
2024-05-09,5,0.0,59.34,-59.34,39413.08,-0.15
2024-05-10,5,-3.0,58.91,-61.91,39351.17,-0.16
2024-05-13,5,0.0,56.65,-56.65,39294.52,-0.14
2024-05-14,5,29.25,59.54,-30.29,39264.23,-0.08
2024-05-15,5,-275.09,57.62,-332.71,38931.52,-0.85
2024-05-16,5,-23.46,57.44,-80.9,38850.62,-0.21
2024-05-17,5,-221.64,46.63,-268.27,38582.35,-0.69
2024-05-21,5,0.0,44.8,-44.8,38537.55,-0.12
2024-05-22,5,0.0,56.35,-56.35,38481.2,-0.15
2024-05-23,5,0.0,56.28,-56.28,38424.92,-0.15
2024-05-24,5,-204.43,56.74,-261.17,38163.75,-0.68
2024-05-27,5,0.0,57.94,-57.94,38105.81,-0.15
2024-05-28,5,33.33,57.92,-24.59,38081.22,-0.06
2024-05-29,5,0.0,56.81,-56.81,38024.41,-0.15
2024-05-30,5,4.83,56.97,-52.14,37972.27,-0.14
2024-05-31,5,0.0,56.12,-56.12,37916.15,-0.15
2024-06-03,5,23.49,54.91,-31.42,37884.73,-0.08
2024-06-04,5,-256.8,57.25,-314.05,37570.68,-0.83
2024-06-05,5,-256.0,56.82,-312.82,37257.86,-0.83
2024-06-06,5,0.0,50.72,-50.72,37207.14,-0.14
2024-06-07,5,-226.67,53.14,-279.81,36927.33,-0.75
2024-06-10,5,0.0,55.29,-55.29,36872.04,-0.15
2024-06-11,5,-0.0,52.56,-52.56,36819.48,-0.14
2024-06-12,5,12.6,54.21,-41.61,36777.87,-0.11
2024-06-13,5,-250.2,55.6,-305.8,36472.07,-0.83
2024-06-14,5,0.0,55.12,-55.12,36416.95,-0.15
2024-06-18,5,39.57,55.09,-15.52,36401.43,-0.04
2024-06-19,5,0.0,53.37,-53.37,36348.06,-0.15
2024-06-20,5,0.0,54.35,-54.35,36293.71,-0.15
2024-06-21,5,0.0,54.76,-54.76,36238.95,-0.15
2024-06-24,5,0.0,51.92,-51.92,36187.03,-0.14
2024-06-25,5,24.42,53.74,-29.32,36157.71,-0.08
2024-06-26,5,0.0,54.97,-54.97,36102.74,-0.15
2024-06-27,5,0.0,54.88,-54.88,36047.86,-0.15
2024-06-28,5,34.8,53.47,-18.67,36029.19,-0.05
2024-07-01,5,-275.51,54.36,-329.87,35699.32,-0.92
2024-07-02,5,0.0,53.86,-53.86,35645.46,-0.15
2024-07-03,5,-263.09,52.0,-315.09,35330.37,-0.88
2024-07-04,5,-245.52,53.46,-298.98,35031.39,-0.85
2024-07-05,5,0.0,50.71,-50.71,34980.68,-0.14
2024-07-08,5,24.92,53.21,-28.29,34952.39,-0.08
2024-07-09,5,0.0,52.16,-52.16,34900.23,-0.15
2024-07-10,5,0.0,52.71,-52.71,34847.52,-0.15
2024-07-11,5,-43.71,48.41,-92.12,34755.4,-0.26
2024-07-12,5,-239.96,52.46,-292.42,34462.98,-0.84
2024-07-15,5,-235.08,51.53,-286.61,34176.37,-0.83
2024-07-16,5,-14.7,52.03,-66.73,34109.64,-0.2
2024-07-18,5,28.62,51.45,-22.83,34086.81,-0.07
2024-07-19,5,-0.0,51.6,-51.6,34035.21,-0.15
2024-07-22,5,-18.9,49.93,-68.83,33966.38,-0.2
2024-07-23,5,0.0,50.8,-50.8,33915.58,-0.15
2024-07-24,5,0.0,51.7,-51.7,33863.88,-0.15
2024-07-25,5,0.0,48.92,-48.92,33814.96,-0.14
2024-07-26,5,0.0,50.65,-50.65,33764.31,-0.15
2024-07-29,5,0.0,51.27,-51.27,33713.04,-0.15
2024-07-30,5,-0.0,46.48,-46.48,33666.56,-0.14
2024-07-31,5,-0.0,51.09,-51.09,33615.47,-0.15
2024-08-01,5,-0.17,51.12,-51.29,33564.18,-0.15
2024-08-02,5,0.0,50.76,-50.76,33513.42,-0.15
2024-08-05,5,0.0,39.22,-39.22,33474.2,-0.12
2024-08-06,5,0.0,51.11,-51.11,33423.09,-0.15
2024-08-07,5,-227.79,46.77,-274.56,33148.53,-0.82
2024-08-08,5,0.0,39.04,-39.04,33109.49,-0.12
2024-08-09,5,-39.6,48.82,-88.42,33021.07,-0.27
2024-08-12,5,0.0,49.53,-49.53,32971.54,-0.15
2024-08-13,5,0.0,49.74,-49.74,32921.8,-0.15
2024-08-14,5,0.0,49.64,-49.64,32872.16,-0.15
2024-08-16,5,47.25,49.86,-2.61,32869.55,-0.01
2024-08-19,5,-47.08,49.3,-96.38,32773.17,-0.29
2024-08-20,5,0.0,49.52,-49.52,32723.65,-0.15
2024-08-21,5,22.89,46.27,-23.38,32700.27,-0.07
2024-08-22,5,0.0,49.6,-49.6,32650.67,-0.15
2024-08-23,5,97.5,49.72,47.78,32698.45,0.15
2024-08-26,5,0.0,48.44,-48.44,32650.01,-0.15
2024-08-27,5,0.0,49.35,-49.35,32600.66,-0.15
2024-08-28,5,-253.2,49.5,-302.7,32297.96,-0.93
2024-08-29,5,11.88,48.21,-36.33,32261.63,-0.11
2024-08-30,5,0.0,48.1,-48.1,32213.53,-0.15
2024-09-02,5,0.0,48.63,-48.63,32164.9,-0.15
2024-09-03,5,0.0,46.29,-46.29,32118.61,-0.14
2024-09-04,5,0.0,48.97,-48.97,32069.64,-0.15
2024-09-05,5,-225.84,46.5,-272.34,31797.3,-0.85
2024-09-06,5,0.0,45.58,-45.58,31751.72,-0.14
2024-09-09,5,51.1,46.01,5.09,31756.81,0.02
2024-09-10,5,0.0,48.03,-48.03,31708.78,-0.15
2024-09-11,5,0.0,45.7,-45.7,31663.08,-0.14
2024-09-12,5,0.0,46.34,-46.34,31616.74,-0.15
2024-09-13,5,0.0,45.91,-45.91,31570.83,-0.15
2024-09-16,5,-0.0,46.44,-46.44,31524.39,-0.15
2024-09-17,5,-218.94,47.93,-266.87,31257.52,-0.85
2024-09-18,5,-27.54,44.05,-71.59,31185.93,-0.23
2024-09-19,5,-215.88,44.31,-260.19,30925.74,-0.83
2024-09-20,5,-213.48,46.78,-260.26,30665.48,-0.84
2024-09-23,5,-213.28,45.76,-259.04,30406.44,-0.84
2024-09-24,5,-0.0,46.46,-46.46,30359.98,-0.15
2024-09-25,5,0.0,36.55,-36.55,30323.43,-0.12
2024-09-26,5,0.0,46.28,-46.28,30277.15,-0.15
2024-09-27,5,-211.68,45.62,-257.3,30019.85,-0.85
2024-09-30,5,58.5,45.16,13.34,30033.19,0.04
2024-10-01,5,0.0,42.16,-42.16,29991.03,-0.14
